Station,closure_date,start_time,end_time,duration_minutes,n_intervals,mean_flow,mean_speed,max_occupancy,multi_station_event
316249,2013-01-15,2013-01-15 01:35:00,2013-01-15 02:10:00,40.0,2,3.5,62.800000000000004,0.0028,True
316261,2013-01-15,2013-01-15 02:00:00,2013-01-15 02:15:00,20.0,3,3.0,60.6,0.0039,True
317791,2013-01-15,2013-01-15 01:35:00,2013-01-15 04:15:00,165.0,33,3.8181818181818183,64.58181818181818,0.003,True
316249,2013-01-16,2013-01-16 02:10:00,2013-01-16 02:10:00,5.0,1,3.0,62.0,0.0016,True
316261,2013-01-16,2013-01-16 01:00:00,2013-01-16 02:20:00,85.0,5,3.6,62.9,0.0064,True
317791,2013-01-16,2013-01-16 00:35:00,2013-01-16 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316249,2013-01-17,2013-01-17 01:15:00,2013-01-17 02:55:00,105.0,2,5.0,62.45,0.0031,True
316261,2013-01-17,2013-01-17 01:05:00,2013-01-17 03:30:00,150.0,8,3.375,65.35,0.0084,True
317791,2013-01-17,2013-01-17 00:50:00,2013-01-17 04:10:00,205.0,41,3.4878048780487805,63.9219512195122,0.0031,True
317791,2013-01-18,2013-01-18 01:05:00,2013-01-18 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,False
316249,2013-01-19,2013-01-19 03:35:00,2013-01-19 03:50:00,20.0,3,5.0,66.93333333333334,0.003,True
316261,2013-01-19,2013-01-19 03:35:00,2013-01-19 03:55:00,25.0,4,4.0,62.8,0.0076,True
317791,2013-01-19,2013-01-19 02:20:00,2013-01-19 05:00:00,165.0,33,3.909090909090909,64.71515151515152,0.0029,True
316249,2013-01-20,2013-01-20 01:30:00,2013-01-20 05:35:00,250.0,36,3.138888888888889,67.27222222222223,0.0041,True
316261,2013-01-20,2013-01-20 01:20:00,2013-01-20 05:40:00,265.0,51,2.980392156862745,66.24509803921569,0.0107,True
317791,2013-01-20,2013-01-20 01:30:00,2013-01-20 05:40:00,255.0,51,3.5294117647058822,65.3313725490196,0.0029,True
316249,2013-01-21,2013-01-21 01:15:00,2013-01-21 03:55:00,165.0,14,3.7857142857142856,66.55,0.0044,True
316261,2013-01-21,2013-01-21 00:15:00,2013-01-21 04:00:00,230.0,20,3.45,66.025,0.0063,True
317791,2013-01-21,2013-01-21 00:15:00,2013-01-21 04:10:00,240.0,47,3.3617021276595747,65.41489361702128,0.0032,True
316249,2013-01-22,2013-01-22 01:25:00,2013-01-22 03:20:00,120.0,5,3.6,65.96000000000001,0.0023,True
316261,2013-01-22,2013-01-22 01:20:00,2013-01-22 03:25:00,130.0,9,2.6666666666666665,64.1888888888889,0.0067,True
317791,2013-01-22,2013-01-22 01:25:00,2013-01-22 04:15:00,175.0,35,3.8857142857142857,64.55142857142857,0.003,True
316249,2013-01-23,2013-01-23 01:05:00,2013-01-23 02:00:00,60.0,4,5.0,66.175,0.0036,True
316261,2013-01-23,2013-01-23 00:50:00,2013-01-23 02:00:00,75.0,12,4.333333333333333,61.666666666666664,0.01,True
317791,2013-01-23,2013-01-23 00:35:00,2013-01-23 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316249,2013-01-24,2013-01-24 01:55:00,2013-01-24 02:55:00,65.0,2,5.0,65.69999999999999,0.0026,True
316261,2013-01-24,2013-01-24 01:10:00,2013-01-24 03:10:00,125.0,10,3.7,64.78999999999999,0.0095,True
317791,2013-01-24,2013-01-24 00:50:00,2013-01-24 04:10:00,205.0,41,3.4878048780487805,63.9219512195122,0.0031,True
316249,2013-01-25,2013-01-25 02:00:00,2013-01-25 02:45:00,50.0,2,4.0,63.5,0.0028,True
316261,2013-01-25,2013-01-25 01:50:00,2013-01-25 02:45:00,60.0,4,4.25,65.55,0.0084,True
317791,2013-01-25,2013-01-25 01:05:00,2013-01-25 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,True
316249,2013-01-26,2013-01-26 03:15:00,2013-01-26 03:15:00,5.0,1,5.0,65.1,0.0033,True
316261,2013-01-26,2013-01-26 03:15:00,2013-01-26 04:40:00,90.0,6,3.3333333333333335,64.63333333333334,0.0092,True
317791,2013-01-26,2013-01-26 02:20:00,2013-01-26 05:00:00,165.0,33,3.909090909090909,64.71515151515152,0.0029,True
316249,2013-01-27,2013-01-27 02:15:00,2013-01-27 05:35:00,205.0,37,3.2972972972972974,67.18108108108108,0.0025,True
316261,2013-01-27,2013-01-27 00:30:00,2013-01-27 06:25:00,360.0,62,2.693548387096774,64.60806451612903,0.0188,True
317791,2013-01-27,2013-01-27 01:30:00,2013-01-27 05:40:00,255.0,51,3.5294117647058822,65.3313725490196,0.0029,True
316249,2013-01-28,2013-01-28 01:10:00,2013-01-28 03:35:00,150.0,17,3.6470588235294117,65.54117647058824,0.0037,True
316261,2013-01-28,2013-01-28 00:35:00,2013-01-28 03:45:00,195.0,30,3.7,65.43333333333334,0.0076,True
317791,2013-01-28,2013-01-28 00:25:00,2013-01-28 04:10:00,230.0,46,3.3260869565217392,65.42608695652174,0.0032,True
316249,2013-01-29,2013-01-29 01:35:00,2013-01-29 02:35:00,65.0,3,4.666666666666667,64.7,0.0037,True
316261,2013-01-29,2013-01-29 01:25:00,2013-01-29 03:40:00,140.0,13,3.4615384615384617,64.4076923076923,0.0106,True
