closure_start,closure_end,has_reopening_time,postId,URL,is_wb,is_eb,text
2017-02-22 02:56:34+00:00,2017-02-22 05:25:00+00:00,True,1870375769841052,https://www.facebook.com/photo/?fbid=1870375769841052&set=a.243396597979226,1,1,"Traffic Alert:

I-80 remains closed at this hour. 

Westbound is closed at the Nevada State Line. 

Eastbound is closed in Colfax. 

Wish we had better information for everyone, but the freeway will not open until conditions improve. 

Photo: SR-267 at Northstar."
2017-02-22 05:25:26+00:00,,False,1870415996503696,https://www.facebook.com/chp.truckee/posts/pfbid0qPt69R4vJH5MKULuoML6tCNkHbaKs7zHXxK7wYB99cHiZGT9sxABK8kbQXB3gQbXl,1,1,"Looking for a Silver Lining?

I-80 eastbound has just reopened to passenger vehicles only. 

I-80 eastbound is still closed to trucks. 

I-80 westbound is still completely closed. 

Chain Control :

I-80 eastbound is R2 Drum Forebay to the Nevada State Line. 

Drive safely."
2017-02-22 06:12:23+00:00,,False,1870431523168810,https://www.facebook.com/chp.truckee/posts/pfbid0QH8Nv2fAmpaQdteMvuYrr9Fc4ZYK2A272fqChtVPyWtwY7DTMsG4cya9Wj46LXZyl,1,1,"Traffic Update:

I-80 eastbound is now open to passenger vehicles and trucks. However, trucks pulling double trailers are still being turned. 

I-80 westbound is still completely closed. 

Chain Control :

I-80 eastbound is R2 Drum Forebay to the Nevada State Line. 

Drive safely."
2017-02-22 07:17:22+00:00,,False,1870444416500854,https://www.facebook.com/chp.truckee/posts/pfbid029VAvhQvSELzSPdbBLftSMXJoBWPpN4eBN2ZDVfAEbcB2ER48g79EkMNbS35hf6nWl,1,1,"Good News! 

Well mostly good news!

I-80 westbound has now reopened. 

I-80 westbound will remained closed to trucks for now. 

Chain Control:

I-80 is R2 Drum Forebay to the Nevada State Line in both directions. 

Eastbound only trucks are Maximum. 

Westbound still closed for trucks only."
2017-02-22 21:10:52+00:00,,False,1870697039808925,https://www.facebook.com/chp.truckee/posts/pfbid03rCTV5nTxqiNjxicpBCi9CoEDqvjSNCwCzgea2uHjSVZye9AJMRniQv2D7K7oz4Kl,1,1,"Ever just completely whiff the exit?

Chain Control:

I-80 no controls. 

SR-89 is R2 Picketts to US-50. 
R1 Bliss State Park to Truckee. 
R1 Truckee to Plumas County. 

SR-267 no controls. 

SR-28 no controls. 

US-50 is R2 Twin Bridges to Meyers. 

SR-20 no controls. 

SR-88 is R2 Peddler Vista to Martins Meadow. 
*Carson Spur is still closed."
2017-03-04 00:57:16+00:00,,False,1874257006119595,https://www.facebook.com/chp.truckee/posts/1874257006119595,0,0,"Traffic Alert for tomorrow March 4th:

The 36th Annual Tahoe City SnowFest! Parade is scheduled to take place on Saturday March 4th, between 11:30am and 12:30pm along North Lake Boulevard.

Motorists should be aware that North Lake Boulevard will be closed between Safeway at the Lighthouse Shopping Center, and the “Y”. Detour routes will not be available.

The road closure is scheduled to be lifted, and the road re-opened at 12:30pm.

For more information visit: tahoesnowfest.org."
2017-03-05 06:52:06+00:00,2017-03-05 22:27:00+00:00,True,1874764276068868,https://www.facebook.com/chp.truckee/posts/pfbid02aXtJCY3dF54U3NPtGofyAxbbyhfjebRF9FdUsYY7ZbmjMvfaKSWR6UTwnFErZ8esl,1,1,"Traffic Alert:

I-80 is currently closed from the Nevada State Line to Colfax in both directions, due to extremely poor visibility and high winds. 

Use an alternate route.

SR-89 is R2 Picketts Junction to US-50. 
R1 Bliss State Park to Tahoma. 
R1 Truckee to the Plumas County Line. 

SR-267 is R2 Kings Beach to Northstar. 
R1 Northstar to Truckee. 

SR-20 is R2 Washington Rd to I-80. 

US-50 is R2 Kyburz to Meyers. 

SR-88 is R2 Peddler vista to Red Lake Creek."
2017-03-05 15:35:23+00:00,2017-03-05 22:27:00+00:00,True,1874902796055016,https://www.facebook.com/photo/?fbid=1874902796055016&set=a.243396597979226,1,1,"The song remains the same. 

I-80 is Still closed from the Nevada State Line to Colfax in both directions. 

It will not reopen until conditions improve. 

SR-89 is R2 Markleeville to Woodfords. 
R2 Picketts Junction to US-50. 
R1 Bliss State Park to Truckee. 
R1 Truckee to the Plumas County Line. 

SR-267 is R2 Kings Beach to Northstar. 

SR-28 is R1 state Line to Tahoe City. 

US-50 is R2 Placerville to Meyers. 

SR-88 is R2 Dew Drop to Paynesville. 

SR-20 is closed except for local traffic between Nevada City and I-80."
2017-03-05 16:33:32+00:00,2017-03-05 22:27:00+00:00,True,1874931079385521,https://www.facebook.com/photo/?fbid=1874931079385521&set=a.243396597979226,1,1,"It's deep out there. 

This picture was taken on I-80 right by the hospital in Truckee. 

I-80 remains closed this morning. It will reopen as conditions improve but for the time being it's closed."
2017-03-05 17:53:20+00:00,2017-03-05 22:27:00+00:00,True,1874961526049143,https://www.facebook.com/chp.truckee/posts/pfbid02ve2jnd76NmEE4EtM2Vo51a9DfE9TiLNZK3uH2vXXJgXvg5LHxwwiZxUQA1Nhimqpl,0,0,"80 closed?

Yup still closed!"
2017-03-06 12:56:30+00:00,2017-03-06 22:03:00+00:00,True,1875302362681726,https://www.facebook.com/chp.truckee/posts/pfbid08wHRph5WREn1FJazuw5dHrqgXNHyM5sZfFumDsAGWaCFhjcy3gLoT15FDtj7LTe6l,1,1,"Traffic Alert.

I-80 has just closed. 

I-80 is closed from the Nevada State Line to Colfax in both directions due to poor visibility and traction issues. 

SR-20 is also closed at this hour."
2017-03-06 15:38:21+00:00,,False,1875351192676843,https://www.facebook.com/chp.truckee/posts/pfbid02jNjdrGHGsDAaqX6xM41SKz5ixosuzwttXWDTEHDA6g788bmd8WQhh4YPm26C6vYXl,1,1,"Shift started early for day shift this morning as the dig out begins. 

I-80 remains closed this morning from the Nevada State Line to Applegate in both directions. 

We will keep you up to date as things changes."
2017-03-06 22:03:17+00:00,,False,1875475792664383,https://www.facebook.com/photo/?fbid=1875475792664383&set=a.243396597979226,1,1,"Traffic Alert:

I-80 eastbound has reopened to all traffic. 
R2 Drum Forebay to Truckee. 
Trucks are Maximum. 

Still holding single screw trucks and trucks pulling double trailers. 

I-80 westbound is still closed."
2017-03-10 21:28:11+00:00,,False,1877239119154717,https://www.facebook.com/chp.truckee/posts/pfbid02WFeiX7AzuAS86q5kr8tpEQsFitujkDV6Z4Rrkrhri2vc9crGZB2fNkpFt7NUauDCl,0,0,"Traffic Alert:

SR-89 has closed through Emerald Bay due to an earlier avalanche. The gates have been closed. 

If trying to go North to South or South to North you will have to take the East Shore. 

Drive safely."
2017-03-24 21:34:50+00:00,2017-03-24 22:51:00+00:00,True,1883659021846060,https://www.facebook.com/photo/?fbid=1883659021846060&set=a.243396597979226,1,1,"Traffic Alert:

I-80 eastbound is closed at Drum Forebay. 

Chain Control: 

I-80 is R2 Drum Forebay to Donner Lake Rd in both directions. 

Trucks are maximum. 

US-50 twin bridges to Meyers. 

SR-20 is R2 Danas to 80. 

SR-88 is R2 Peddler Vista to Lumber Yard. 
R2 Silver Lake to Red Lake Creek. 

Drive safely."
2017-04-13 21:28:55+00:00,2017-04-13 22:38:00+00:00,True,1893789474166348,https://www.facebook.com/chp.truckee/posts/pfbid032dD9A93jVzxy87mzizdURS6pjc4krBTviY859hovAYHPV272qFQHx8WKAKPW2yDEl,1,1,"Traffic Alert:

I-80 is currently closed in both directions. 

Westbound is closed at Truckee. 

Eastbound is closed at Nyack."
2017-04-14 03:56:19+00:00,2017-04-14 13:36:00+00:00,True,1893893084155987,https://www.facebook.com/photo/?fbid=1893893084155987&set=a.243396597979226,1,1,"That's all folks!

I-80 is now closed to all traffic due to white out conditions. 

Westbound is closed at the Nevada State Line. 

Eastbound is closed at Colfax. 

Locals and local employees to the area are being permitted with valid proof of residency or employment."
2017-05-01 14:49:21+00:00,,False,1901660466712582,https://www.facebook.com/chp.truckee/posts/pfbid0Scz789Yofg9tqkLSFcHbEioA7tHHwaj9oSZd5K4VbzCwpC1fMgNwrkZf2GohiA2Jl,1,0,"Traffic Alert:

I-80 westbound is closed at SR-174 due to a big rig fire and diesel spill. 

Unknown estimate for re-opening the highway. 

Currently CHP – Gold Run is having traffic exit at SR-174 and re-entering the highway. 

Drive carefully and expect delays."
2017-05-01 17:38:26+00:00,,False,1901714103373885,https://www.facebook.com/chp.truckee/posts/1901714103373885,1,0,Update from CHP – Gold Run on the closure of I-80 westbound at SR-174.
