,type,id,url,twitterUrl,text,source,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,lang,bookmarkCount,isReply,inReplyToId,conversationId,displayTextRange,inReplyToUserId,inReplyToUsername,author,extendedEntities,card,place,entities,quoted_tweet,retweeted_tweet,article
0,tweet,601559388038402048,https://x.com/CHP_Truckee/status/601559388038402048,https://twitter.com/CHP_Truckee/status/601559388038402048,"Traffic update:

I-80 eastbound, east of boreal is closed at this time due to a tractor trailer that overturned... http://t.co/Jjv1IlvrFZ",Twitter for iPhone,0,0,0,0,0,2015-05-22T01:25:09+00:00,en,0,False,,601559388038402048,"[0, 137]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/3deNv65hr', 'expanded_url': 'http://fb.me/3deNv65hr', 'indices': [115, 137], 'url': 'http://t.co/Jjv1IlvrFZ'}], 'user_mentions': []}",,,
1,tweet,601175772728963072,https://x.com/CHP_Truckee/status/601175772728963072,https://twitter.com/CHP_Truckee/status/601175772728963072,"Traffic Update:

All lanes of I-80 westbound, at Donner Lake Interchange are reopened.  Drive safe.",Twitter for iPhone,1,0,0,0,0,2015-05-21T00:00:48+00:00,en,0,False,,601175772728963072,"[0, 99]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,
2,tweet,600129019384713216,https://x.com/CHP_Truckee/status/600129019384713216,https://twitter.com/CHP_Truckee/status/600129019384713216,"Traffic Update:

I-80 westbound reopened at this time. 

Drive safe.",Twitter for iPhone,4,0,2,0,0,2015-05-18T02:41:22+00:00,en,0,False,,600129019384713216,"[0, 68]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,
3,tweet,600117452005978113,https://x.com/CHP_Truckee/status/600117452005978113,https://twitter.com/CHP_Truckee/status/600117452005978113,"Westbound I-80 is currently closed at Donner Lake Interchange, due to 5 different collisions as a result of a... http://t.co/6j91AEK4bo",Twitter for iPhone,3,1,1,0,0,2015-05-18T01:55:24+00:00,en,0,False,,600117452005978113,"[0, 135]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/4kiTRSUQT', 'expanded_url': 'http://fb.me/4kiTRSUQT', 'indices': [113, 135], 'url': 'http://t.co/6j91AEK4bo'}], 'user_mentions': []}",,,
4,tweet,1085960266846588928,https://x.com/CHP_Truckee/status/1085960266846588928,https://twitter.com/CHP_Truckee/status/1085960266846588928,"A little team work to get the road back open down by State Line today. 
Unfortunately I-80 remains closed to Tractor Trailer traffic. #towtruck #morepower #i80 #chp #truckee #tugawar #tahoe #ford #expedition https://t.co/urRM6ea9qd",Twitter for iPhone,9,1,35,0,0,2019-01-17T18:01:18+00:00,en,0,False,,1085960266846588928,"[0, 207]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}","{'media': [{'additional_media_info': {'monetizable': False}, 'display_url': 'pic.x.com/urRM6ea9qd', 'expanded_url': 'https://x.com/CHP_Truckee/status/1085960266846588928/video/1', 'ext_media_availability': {'status': 'Available'}, 'id_str': '1085960068124762112', 'indices': [208, 231], 'media_key': '7_1085960068124762112', 'media_results': {'result': {'media_key': '7_1085960068124762112'}}, 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1085960068124762112/pu/img/0wFH2M6RQyol2kgo.jpg', 'original_info': {'focus_rects': [], 'height': 480, 'width': 640}, 'sizes': {'large': {'h': 480, 'resize': 'fit', 'w': 640}, 'medium': {'h': 480, 'resize': 'fit', 'w': 640}, 'small': {'h': 480, 'resize': 'fit', 'w': 640}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'type': 'video', 'url': 'https://t.co/urRM6ea9qd', 'video_info': {'aspect_ratio': [4, 3], 'duration_millis': 23893, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1085960068124762112/pu/pl/PkozKMFIDe9TTxww.m3u8?tag=8'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1085960068124762112/pu/vid/240x180/4MEKuGVXjKuy7KUq.mp4?tag=8'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1085960068124762112/pu/vid/480x360/BC8-6nDJIKxX9pKG.mp4?tag=8'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1085960068124762112/pu/vid/640x480/P6XZsaS5A1hKIfDi.mp4?tag=8'}]}}]}",,{},"{'hashtags': [{'indices': [134, 143], 'text': 'towtruck'}, {'indices': [144, 154], 'text': 'morepower'}, {'indices': [155, 159], 'text': 'i80'}, {'indices': [160, 164], 'text': 'chp'}, {'indices': [165, 173], 'text': 'truckee'}, {'indices': [174, 182], 'text': 'tugawar'}, {'indices': [183, 189], 'text': 'tahoe'}, {'indices': [190, 195], 'text': 'ford'}, {'indices': [196, 207], 'text': 'expedition'}], 'media': [{'additional_media_info': {'monetizable': False}, 'display_url': 'pic.x.com/urRM6ea9qd', 'expanded_url': 'https://x.com/CHP_Truckee/status/1085960266846588928/video/1', 'ext_media_availability': {'status': 'Available'}, 'id_str': '1085960068124762112', 'indices': [208, 231], 'media_key': '7_1085960068124762112', 'media_results': {'result': {'media_key': '7_1085960068124762112'}}, 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1085960068124762112/pu/img/0wFH2M6RQyol2kgo.jpg', 'original_info': {'focus_rects': [], 'height': 480, 'width': 640}, 'sizes': {'large': {'h': 480, 'resize': 'fit', 'w': 640}, 'medium': {'h': 480, 'resize': 'fit', 'w': 640}, 'small': {'h': 480, 'resize': 'fit', 'w': 640}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'type': 'video', 'url': 'https://t.co/urRM6ea9qd', 'video_info': {'aspect_ratio': [4, 3], 'duration_millis': 23893, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1085960068124762112/pu/pl/PkozKMFIDe9TTxww.m3u8?tag=8'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1085960068124762112/pu/vid/240x180/4MEKuGVXjKuy7KUq.mp4?tag=8'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1085960068124762112/pu/vid/480x360/BC8-6nDJIKxX9pKG.mp4?tag=8'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1085960068124762112/pu/vid/640x480/P6XZsaS5A1hKIfDi.mp4?tag=8'}]}}], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,
5,tweet,680150700412768257,https://x.com/CHP_Truckee/status/680150700412768257,https://twitter.com/CHP_Truckee/status/680150700412768257,"Chain Controls:

I-80 is currently closed due to extremely low visibility. All traffic is being held at nearest... https://t.co/ynSF3TcBet",Twitter for iPhone,4,0,4,0,0,2015-12-24T22:18:58+00:00,en,0,False,,680150700412768257,"[0, 138]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/57QivgkDG', 'expanded_url': 'http://fb.me/57QivgkDG', 'indices': [115, 138], 'url': 'https://t.co/ynSF3TcBet'}], 'user_mentions': []}",,,
6,tweet,689603161854734337,https://x.com/CHP_Truckee/status/689603161854734337,https://twitter.com/CHP_Truckee/status/689603161854734337,"Traffic Alert:

Exit 188A from I-80 eastbound here in Truckee will be closed for an unknown amount of time due to... https://t.co/7bPVxXmQzP",Twitter for iPhone,1,0,0,0,0,2016-01-20T00:19:40+00:00,en,0,False,,689603161854734337,"[0, 140]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/3Xpiq5Jpo', 'expanded_url': 'http://fb.me/3Xpiq5Jpo', 'indices': [117, 140], 'url': 'https://t.co/7bPVxXmQzP'}], 'user_mentions': []}",,,
7,tweet,684777518478548994,https://x.com/CHP_Truckee/status/684777518478548994,https://twitter.com/CHP_Truckee/status/684777518478548994,"Traffic alert: 

Expect a long lane closure I-80 eastbound at Hirschdale due to a vehicle accident that ended up... https://t.co/io5SnEY2Ji",Twitter for iPhone,1,1,0,0,0,2016-01-06T16:44:17+00:00,en,0,False,,684777518478548994,"[0, 139]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/7Ldj09pR1', 'expanded_url': 'http://fb.me/7Ldj09pR1', 'indices': [116, 139], 'url': 'https://t.co/io5SnEY2Ji'}], 'user_mentions': []}",,,
8,tweet,703323441588469761,https://x.com/CHP_Truckee/status/703323441588469761,https://twitter.com/CHP_Truckee/status/703323441588469761,"Traffic Alert:

I-80 eastbound offramp at SR-267 is closed at this time due to a Motorcycle collision.  Use an... https://t.co/gTKF7tAnfG",Twitter for iPhone,0,0,0,0,0,2016-02-26T20:59:10+00:00,en,0,False,,703323441588469761,"[0, 137]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/758ddTbiK', 'expanded_url': 'http://fb.me/758ddTbiK', 'indices': [114, 137], 'url': 'https://t.co/gTKF7tAnfG'}], 'user_mentions': []}",,,
9,tweet,700342928921751552,https://x.com/CHP_Truckee/status/700342928921751552,https://twitter.com/CHP_Truckee/status/700342928921751552,"Chain Control:

I-80 is R2 Drum Forebay to the Nevada State Line.
Trucks are Max.
I-80 is Closed to trucks... https://t.co/47mXSbma1h",Twitter for iPhone,5,0,2,0,0,2016-02-18T15:35:40+00:00,en,0,False,,700342928921751552,"[0, 133]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/4rHCWDwO3', 'expanded_url': 'http://fb.me/4rHCWDwO3', 'indices': [110, 133], 'url': 'https://t.co/47mXSbma1h'}], 'user_mentions': []}",,,
