low_quantile,high_quantile,extreme_quantile,low_medium,medium_high,high_extreme,binned_average_precision,monotonic_violations,tiny_categories,objective
0.7,0.9,0.98,0.06453851934439986,0.1511254933381686,0.5051119698435983,0.26317892915060614,0,0,0.26317892915060614
0.6,0.9,0.98,0.05827678204832674,0.1511254933381686,0.5051119698435983,0.2606186875449515,0,0,0.2606186875449515
0.5,0.9,0.98,0.05420016802973019,0.1511254933381686,0.5051119698435983,0.25900518728620914,0,0,0.25900518728620914
0.7,0.85,0.98,0.06453851934439986,0.09975016332204033,0.5051119698435983,0.2559303848688826,0,0,0.2559303848688826
0.6,0.85,0.98,0.05827678204832674,0.09975016332204033,0.5051119698435983,0.25412036280499095,0,0,0.25412036280499095
0.5,0.85,0.98,0.05420016802973019,0.09975016332204033,0.5051119698435983,0.2528744529725542,0,0,0.2528744529725542
0.7,0.8,0.98,0.06453851934439986,0.07924972658668634,0.5051119698435983,0.2513528727823673,0,0,0.2513528727823673
0.6,0.8,0.98,0.05827678204832674,0.07924972658668634,0.5051119698435983,0.2506681800311202,0,0,0.2506681800311202
0.5,0.8,0.98,0.05420016802973019,0.07924972658668634,0.5051119698435983,0.2499736558381418,0,0,0.2499736558381418
0.7,0.9,0.97,0.06453851934439986,0.1511254933381686,0.3995917992627221,0.19688585376694978,0,0,0.19688585376694978
0.6,0.9,0.97,0.05827678204832674,0.1511254933381686,0.3995917992627221,0.19432561216129512,0,0,0.19432561216129512
0.5,0.9,0.97,0.05420016802973019,0.1511254933381686,0.3995917992627221,0.19271211190255277,0,0,0.19271211190255277
0.7,0.85,0.97,0.06453851934439986,0.09975016332204033,0.3995917992627221,0.19171344772071797,0,0,0.19171344772071797
0.6,0.85,0.97,0.05827678204832674,0.09975016332204033,0.3995917992627221,0.18990342565682633,0,0,0.18990342565682633
0.5,0.85,0.97,0.05420016802973019,0.09975016332204033,0.3995917992627221,0.18865751582438958,0,0,0.18865751582438958
0.7,0.8,0.97,0.06453851934439986,0.07924972658668634,0.3995917992627221,0.18826692851995244,0,0,0.18826692851995244
0.6,0.8,0.97,0.05827678204832674,0.07924972658668634,0.3995917992627221,0.18758223576870534,0,0,0.18758223576870534
0.5,0.8,0.97,0.05420016802973019,0.07924972658668634,0.3995917992627221,0.18688771157572698,0,0,0.18688771157572698
0.7,0.9,0.95,0.06453851934439986,0.1511254933381686,0.28007448916215427,0.15630850608577584,0,0,0.15630850608577584
0.6,0.9,0.95,0.05827678204832674,0.1511254933381686,0.28007448916215427,0.1537482644801212,0,0,0.1537482644801212
0.7,0.85,0.95,0.06453851934439986,0.09975016332204033,0.28007448916215427,0.1527970106279375,0,0,0.1527970106279375
0.5,0.9,0.95,0.05420016802973019,0.1511254933381686,0.28007448916215427,0.15213476422137884,0,0,0.15213476422137884
0.6,0.85,0.95,0.05827678204832674,0.09975016332204033,0.28007448916215427,0.15098698856404583,0,0,0.15098698856404583
0.7,0.8,0.95,0.06453851934439986,0.07924972658668634,0.28007448916215427,0.15025528573577174,0,0,0.15025528573577174
0.5,0.85,0.95,0.05420016802973019,0.09975016332204033,0.28007448916215427,0.14974107873160908,0,0,0.14974107873160908
0.6,0.8,0.95,0.05827678204832674,0.07924972658668634,0.28007448916215427,0.14957059298452463,0,0,0.14957059298452463
0.5,0.8,0.95,0.05420016802973019,0.07924972658668634,0.28007448916215427,0.1488760687915463,0,0,0.1488760687915463
