month,month_name,starts_per_1000_hours
10,Oct,2.0117610646858557
11,Nov,3.7031073901143134
12,Dec,5.850804485616773
1,Jan,5.789642972016726
2,Feb,6.90846286701209
3,Mar,9.33955970647098
4,Apr,2.7490297542043987
5,May,2.4941543257989087
