feature,closure_start_mean,other_hour_mean,standardized_difference,absolute_difference
weather_code,48.21518987341772,13.206273377785006,1.1444205682046018,1.1444205682046018
cloud_cover_low,68.36708860759494,27.372397950886324,1.0058220270678528,1.0058220270678528
cloud_cover_mid,62.447257383966246,23.476927142624817,0.9691065632894628,0.9691065632894628
surface_pressure,777.06862,782.7770670710685,-0.9182778256395708,0.9182778256395708
snowfall,0.34780224770042195,0.0402875824032363,0.8905559767482307,0.8905559767482307
precipitation,0.05081564254219409,0.006710808993322085,0.8748437403797775,0.8748437403797775
cloud_cover,80.77215189873418,51.90232151569361,0.7369185594978828,0.7369185594978828
pressure_msl,1014.6506329113924,1019.3089465766792,-0.7176766694326328,0.7176766694326328
apparent_temperature,20.426613941097045,27.037999871564235,-0.5674412243824891,0.5674412243824891
wind_speed_10m,8.445530616286918,5.9943523452667105,0.5658585189873884,0.5658585189873884
wind_speed_100m,15.453506401181436,11.158096228762606,0.5608347695715629,0.5608347695715629
relative_humidity_2m,81.47728076793248,70.63309049426938,0.5425649645439691,0.5425649645439691
snow_depth,3.651284152392405,2.2594233879859122,0.5217863742644419,0.5217863742644419
temperature_2m,28.755063270042193,34.0671897944256,-0.5036384670446332,0.5036384670446332
is_day,0.70042194092827,0.4705033338754269,0.4794889245265755,0.4794889245265755
sunshine_duration,1034.3883013101267,1296.8372318687711,-0.16221964584251933,0.16221964584251933
dew_point_2m,22.97455692405063,23.863534919413034,-0.11271976977203906,0.11271976977203906
cloud_cover_high,32.050632911392405,30.7500813140348,0.03158867953087011,0.03158867953087011
rain,0.0011296058497890296,0.000960402004336071,0.01546352463035711,0.01546352463035711
