,will_close_in_6h,will_close_in_12h,will_close_in_24h,max_abs_correlation
snowfall,0.15968294668999103,0.16807994614992974,0.17458879727562443,0.17458879727562443
precipitation,0.15406229186726406,0.16441843382154403,0.1742280650283825,0.1742280650283825
weather_code,0.13069191556941928,0.15234941359579646,0.17248180268285582,0.17248180268285582
surface_pressure,-0.1075704097200602,-0.1489778567045135,-0.1693054383993523,0.1693054383993523
cloud_cover_mid,0.11257496924785608,0.1382729602982096,0.15539132737264794,0.15539132737264794
wind_speed_100m,0.08609838920870339,0.12022720554367114,0.15267050278827887,0.15267050278827887
wind_speed_10m,0.0878945353745851,0.1162175190449355,0.14626279823707494,0.14626279823707494
cloud_cover_low,0.1007273900577945,0.1250678089700479,0.1443904025549025,0.1443904025549025
pressure_msl,-0.07853273771241415,-0.09883267297759608,-0.12695962188959511,0.12695962188959511
cloud_cover,0.07292568514756108,0.09380541535415186,0.12060659895929035,0.12060659895929035
relative_humidity_2m,0.0557568047147037,0.09026396914572109,0.09693658149108926,0.09693658149108926
apparent_temperature,-0.061472317530809305,-0.09358217770224755,-0.09511251826472354,0.09511251826472354
snow_depth,0.05728906640673047,0.0752834498384553,0.09293446250916788,0.09293446250916788
temperature_2m,-0.05173681411227365,-0.08093437304690772,-0.07871349662775243,0.08093437304690772
sunshine_duration,-0.0163678911419299,-0.051224175688720765,-0.04607452881654682,0.051224175688720765
cloud_cover_high,0.01340848759643025,0.022351400812192047,0.04163491492376483,0.04163491492376483
rain,0.015549653564401406,0.02382928376798069,0.036275270845733794,0.036275270845733794
is_day,0.03156076619685896,-0.00863904324099136,-0.007433515788919214,0.03156076619685896
dew_point_2m,-0.012372692965192843,-0.015482190511563293,-0.006575399499774822,0.015482190511563293
